Item,Price,Quantity,Order Total,Order Date,Month,Year,Month_Num,Day,Weekday,Is_Weekend,Avg_Price_Per_Item,High_Value_Order,Category_Drinks,Category_Main Dishes,Category_Side Dishes,Category_Starters,Payment Method_Credit Card,Payment Method_Digital Wallet
Brownie,6.0,2.0,12.0,2023-03-14,2023-03,2023,3,14,Tuesday,0,6.0,0,False,False,False,False,False,False
Nachos Grande,10.0,4.0,40.0,2022-10-02,2022-10,2022,10,2,Sunday,1,10.0,0,False,False,False,True,False,False
Chocolate Cake,6.0,5.0,30.0,2023-01-17,2023-01,2023,1,17,Tuesday,0,6.0,0,False,False,False,False,True,False
Steak,20.0,5.0,100.0,2022-06-28,2022-06,2022,6,28,Tuesday,0,20.0,0,False,True,False,False,True,False
Cheese Fries,5.0,2.0,10.0,2023-10-20,2023-10,2023,10,20,Friday,0,5.0,0,False,False,False,True,True,False
French Fries,4.0,3.0,12.0,2022-01-05,2022-01,2022,1,5,Wednesday,0,4.0,0,False,False,False,True,True,False
Lemonade,3.0,2.0,6.0,2022-10-26,2022-10,2022,10,26,Wednesday,0,3.0,0,True,False,False,False,False,False
Water,1.0,1.0,1.0,2022-09-06,2022-09,2022,9,6,Tuesday,0,1.0,0,True,False,False,False,False,True
Chocolate Cake,6.0,5.0,30.0,2023-10-09,2023-10,2023,10,9,Monday,0,6.0,0,False,False,False,False,False,False
Salmon,18.0,5.0,90.0,2022-07-14,2022-07,2022,7,14,Thursday,0,18.0,0,False,True,False,False,False,False
Coca Cola,2.5,5.0,12.5,2023-11-04,2023-11,2023,11,4,Saturday,1,2.5,0,True,False,False,False,False,True
Chocolate Cake,6.0,2.0,12.0,2023-01-06,2023-01,2023,1,6,Friday,0,6.0,0,False,False,False,False,False,True
Lemonade,3.0,3.0,9.0,2022-05-23,2022-05,2022,5,23,Monday,0,3.0,0,True,False,False,False,False,True
Grilled Chicken,15.0,3.0,45.0,2022-01-29,2022-01,2022,1,29,Saturday,1,15.0,0,False,True,False,False,False,False
Beef Chili,7.0,1.0,7.0,2022-05-18,2022-05,2022,5,18,Wednesday,0,7.0,0,False,False,False,True,False,True
Pasta Alfredo,12.0,2.0,24.0,2023-08-02,2023-08,2023,8,2,Wednesday,0,12.0,0,False,True,False,False,True,False
Fruit Salad,4.0,3.0,12.0,2023-07-12,2023-07,2023,7,12,Wednesday,0,4.0,0,False,False,False,False,False,True
Chocolate Cake,6.0,1.0,6.0,2022-07-11,2022-07,2022,7,11,Monday,0,6.0,0,False,False,False,False,False,False
Coca Cola,2.5,2.0,5.0,2022-07-15,2022-07,2022,7,15,Friday,0,2.5,0,True,False,False,False,False,True
Chocolate Cake,6.0,1.0,6.0,2022-11-07,2022-11,2022,11,7,Monday,0,6.0,0,False,False,False,False,True,False
French Fries,4.0,1.0,4.0,2023-08-13,2023-08,2023,8,13,Sunday,1,4.0,0,False,False,False,True,False,True
Grilled Chicken,15.0,5.0,75.0,2023-03-05,2023-03,2023,3,5,Sunday,1,15.0,0,False,True,False,False,False,True
Vegetarian Platter,14.0,3.0,42.0,2023-12-14,2023-12,2023,12,14,Thursday,0,14.0,0,False,True,False,False,False,True
Chocolate Cake,6.0,1.0,6.0,2022-01-01,2022-01,2022,1,1,Saturday,1,6.0,0,False,False,False,False,False,True
Orange Juice,3.0,1.0,3.0,2022-05-31,2022-05,2022,5,31,Tuesday,0,3.0,0,True,False,False,False,True,False
Grilled Vegetables,5.0,3.0,15.0,2023-09-12,2023-09,2023,9,12,Tuesday,0,5.0,0,False,False,True,False,True,False
Iced Tea,2.5,3.0,7.5,2022-08-09,2022-08,2022,8,9,Tuesday,0,2.5,0,True,False,False,False,False,True
Garlic Bread,4.0,3.0,12.0,2022-04-10,2022-04,2022,4,10,Sunday,1,4.0,0,False,False,True,False,True,False
Water,1.0,4.0,4.0,2022-06-13,2022-06,2022,6,13,Monday,0,1.0,0,True,False,False,False,True,False
French Fries,4.0,2.0,8.0,2023-08-20,2023-08,2023,8,20,Sunday,1,4.0,0,False,False,False,True,True,False
Sweet Potato Fries,5.0,3.0,15.0,2022-06-29,2022-06,2022,6,29,Wednesday,0,5.0,0,False,False,False,True,True,False
French Fries,4.0,5.0,20.0,2023-01-30,2023-01,2023,1,30,Monday,0,4.0,0,False,False,False,True,True,False
Side Salad,3.0,3.0,9.0,2023-03-14,2023-03,2023,3,14,Tuesday,0,3.0,0,False,False,True,False,True,False
Fruit Salad,4.0,5.0,20.0,2022-09-20,2022-09,2022,9,20,Tuesday,0,4.0,0,False,False,False,False,True,False
Cheesecake,7.0,5.0,35.0,2023-06-10,2023-06,2023,6,10,Saturday,1,7.0,0,False,False,False,False,False,True
Side Salad,3.0,2.0,6.0,2023-06-16,2023-06,2023,6,16,Friday,0,3.0,0,False,False,True,False,False,True
Cheesecake,7.0,1.0,7.0,2022-09-15,2022-09,2022,9,15,Thursday,0,7.0,0,False,False,False,False,True,False
Brownie,6.0,2.0,12.0,2022-07-13,2022-07,2022,7,13,Wednesday,0,6.0,0,False,False,False,False,True,False
Beef Chili,7.0,5.0,35.0,2023-03-07,2023-03,2023,3,7,Tuesday,0,7.0,0,False,False,False,True,True,False
Steak,20.0,3.0,60.0,2023-06-16,2023-06,2023,6,16,Friday,0,20.0,0,False,True,False,False,True,False
Grilled Chicken,15.0,1.0,15.0,2023-08-17,2023-08,2023,8,17,Thursday,0,15.0,0,False,True,False,False,False,False
Chocolate Cake,6.0,4.0,24.0,2023-09-28,2023-09,2023,9,28,Thursday,0,6.0,0,False,False,False,False,False,True
Orange Juice,3.0,3.0,9.0,2023-05-08,2023-05,2023,5,8,Monday,0,3.0,0,True,False,False,False,False,False
Iced Tea,2.5,3.0,7.5,2022-10-06,2022-10,2022,10,6,Thursday,0,2.5,0,True,False,False,False,False,True
Pasta Alfredo,12.0,4.0,48.0,2023-05-08,2023-05,2023,5,8,Monday,0,12.0,0,False,True,False,False,False,True
Cheesecake,7.0,4.0,28.0,2022-08-20,2022-08,2022,8,20,Saturday,1,7.0,0,False,False,False,False,True,False
Grilled Chicken,15.0,2.0,30.0,2023-10-31,2023-10,2023,10,31,Tuesday,0,15.0,0,False,True,False,False,True,False
Orange Juice,3.0,5.0,15.0,2023-06-19,2023-06,2023,6,19,Monday,0,3.0,0,True,False,False,False,False,False
Pasta Alfredo,12.0,3.0,36.0,2022-08-13,2022-08,2022,8,13,Saturday,1,12.0,0,False,True,False,False,False,True
Sweet Potato Fries,5.0,1.0,5.0,2022-01-18,2022-01,2022,1,18,Tuesday,0,5.0,0,False,False,False,True,False,True
Ice Cream,5.0,4.0,20.0,2023-04-27,2023-04,2023,4,27,Thursday,0,5.0,0,False,False,False,False,True,False
Beef Chili,7.0,3.0,21.0,2023-05-06,2023-05,2023,5,6,Saturday,1,7.0,0,False,False,False,True,True,False
French Fries,4.0,4.0,16.0,2022-11-20,2022-11,2022,11,20,Sunday,1,4.0,0,False,False,False,True,True,False
French Fries,4.0,3.0,12.0,2023-09-11,2023-09,2023,9,11,Monday,0,4.0,0,False,False,False,True,False,True
Water,1.0,3.0,3.0,2022-12-23,2022-12,2022,12,23,Friday,0,1.0,0,True,False,False,False,False,False
Mashed Potatoes,4.0,2.0,8.0,2023-02-17,2023-02,2023,2,17,Friday,0,4.0,0,False,False,True,False,False,True
Coca Cola,2.5,1.0,2.5,2022-06-28,2022-06,2022,6,28,Tuesday,0,2.5,0,True,False,False,False,False,True
Cheese Fries,5.0,3.0,15.0,2023-05-04,2023-05,2023,5,4,Thursday,0,5.0,0,False,False,False,True,True,False
Side Salad,3.0,3.0,9.0,2022-10-04,2022-10,2022,10,4,Tuesday,0,3.0,0,False,False,True,False,True,False
Side Salad,3.0,3.0,9.0,2023-01-10,2023-01,2023,1,10,Tuesday,0,3.0,0,False,False,True,False,False,True
Steak,20.0,4.0,80.0,2022-11-24,2022-11,2022,11,24,Thursday,0,20.0,0,False,True,False,False,False,True
French Fries,4.0,5.0,20.0,2022-12-22,2022-12,2022,12,22,Thursday,0,4.0,0,False,False,False,True,False,True
Pasta Alfredo,12.0,1.0,12.0,2022-09-04,2022-09,2022,9,4,Sunday,1,12.0,0,False,True,False,False,False,True
Cheese Fries,5.0,5.0,25.0,2022-05-03,2022-05,2022,5,3,Tuesday,0,5.0,0,False,False,False,True,False,False
Salmon,18.0,2.0,36.0,2023-03-21,2023-03,2023,3,21,Tuesday,0,18.0,0,False,True,False,False,False,True
Brownie,6.0,2.0,12.0,2023-04-02,2023-04,2023,4,2,Sunday,1,6.0,0,False,False,False,False,False,False
Coca Cola,2.5,3.0,7.5,2023-12-21,2023-12,2023,12,21,Thursday,0,2.5,0,True,False,False,False,False,False
Pasta Alfredo,12.0,1.0,12.0,2022-05-25,2022-05,2022,5,25,Wednesday,0,12.0,0,False,True,False,False,False,False
Chicken Melt,8.0,3.0,24.0,2022-03-19,2022-03,2022,3,19,Saturday,1,8.0,0,False,False,False,True,False,False
Water,1.0,1.0,1.0,2022-07-06,2022-07,2022,7,6,Wednesday,0,1.0,0,True,False,False,False,True,False
French Fries,4.0,4.0,16.0,2022-05-23,2022-05,2022,5,23,Monday,0,4.0,0,False,False,False,True,False,True
Chicken Melt,8.0,5.0,40.0,2022-06-08,2022-06,2022,6,8,Wednesday,0,8.0,0,False,False,False,True,False,True
Garlic Bread,4.0,1.0,4.0,2022-07-20,2022-07,2022,7,20,Wednesday,0,4.0,0,False,False,True,False,False,True
Grilled Chicken,15.0,3.0,45.0,2022-09-19,2022-09,2022,9,19,Monday,0,15.0,0,False,True,False,False,True,False
Orange Juice,3.0,2.0,6.0,2023-06-04,2023-06,2023,6,4,Sunday,1,3.0,0,True,False,False,False,False,False
Onion Rings,5.0,1.0,5.0,2023-08-12,2023-08,2023,8,12,Saturday,1,5.0,0,False,False,True,False,False,True
Chocolate Cake,6.0,1.0,6.0,2023-01-30,2023-01,2023,1,30,Monday,0,6.0,0,False,False,False,False,False,False
Grilled Chicken,15.0,1.0,15.0,2023-10-17,2023-10,2023,10,17,Tuesday,0,15.0,0,False,True,False,False,False,False
Water,1.0,5.0,5.0,2022-05-02,2022-05,2022,5,2,Monday,0,1.0,0,True,False,False,False,False,True
Steak,20.0,1.0,20.0,2023-09-08,2023-09,2023,9,8,Friday,0,20.0,0,False,True,False,False,True,False
Grilled Chicken,15.0,2.0,30.0,2023-04-11,2023-04,2023,4,11,Tuesday,0,15.0,0,False,True,False,False,True,False
Grilled Vegetables,5.0,2.0,10.0,2022-01-26,2022-01,2022,1,26,Wednesday,0,5.0,0,False,False,True,False,True,False
Fruit Salad,4.0,2.0,8.0,2023-10-19,2023-10,2023,10,19,Thursday,0,4.0,0,False,False,False,False,False,True
Coca Cola,2.5,3.0,7.5,2022-04-02,2022-04,2022,4,2,Saturday,1,2.5,0,True,False,False,False,True,False
Salmon,18.0,4.0,72.0,2022-02-16,2022-02,2022,2,16,Wednesday,0,18.0,0,False,True,False,False,False,False
Cheese Fries,5.0,2.0,10.0,2023-01-04,2023-01,2023,1,4,Wednesday,0,5.0,0,False,False,False,True,False,False
Pasta Alfredo,12.0,5.0,60.0,2023-02-04,2023-02,2023,2,4,Saturday,1,12.0,0,False,True,False,False,False,True
Water,1.0,2.0,2.0,2023-12-27,2023-12,2023,12,27,Wednesday,0,1.0,0,True,False,False,False,True,False
Vegetarian Platter,14.0,3.0,42.0,2022-05-28,2022-05,2022,5,28,Saturday,1,14.0,0,False,True,False,False,False,True
Cheese Fries,5.0,1.0,5.0,2023-01-03,2023-01,2023,1,3,Tuesday,0,5.0,0,False,False,False,True,False,True
Side Salad,3.0,4.0,12.0,2022-05-13,2022-05,2022,5,13,Friday,0,3.0,0,False,False,True,False,True,False
Cheesecake,7.0,3.0,21.0,2022-08-22,2022-08,2022,8,22,Monday,0,7.0,0,False,False,False,False,False,False
Water,1.0,2.0,2.0,2022-02-10,2022-02,2022,2,10,Thursday,0,1.0,0,True,False,False,False,False,True
Beef Chili,7.0,5.0,35.0,2023-11-10,2023-11,2023,11,10,Friday,0,7.0,0,False,False,False,True,True,False
Beef Chili,7.0,4.0,28.0,2022-03-15,2022-03,2022,3,15,Tuesday,0,7.0,0,False,False,False,True,False,True
Pasta Alfredo,12.0,5.0,60.0,2023-08-28,2023-08,2023,8,28,Monday,0,12.0,0,False,True,False,False,False,False
Garlic Bread,4.0,2.0,8.0,2023-11-25,2023-11,2023,11,25,Saturday,1,4.0,0,False,False,True,False,True,False
Grilled Chicken,15.0,4.0,60.0,2022-06-28,2022-06,2022,6,28,Tuesday,0,15.0,0,False,True,False,False,False,True
French Fries,4.0,2.0,8.0,2022-09-10,2022-09,2022,9,10,Saturday,1,4.0,0,False,False,False,True,False,False
Iced Tea,2.5,1.0,2.5,2022-09-04,2022-09,2022,9,4,Sunday,1,2.5,0,True,False,False,False,False,False
Cheese Fries,5.0,4.0,20.0,2022-05-16,2022-05,2022,5,16,Monday,0,5.0,0,False,False,False,True,False,False
Coca Cola,2.5,2.0,5.0,2022-10-29,2022-10,2022,10,29,Saturday,1,2.5,0,True,False,False,False,False,False
Sweet Potato Fries,5.0,4.0,20.0,2023-07-04,2023-07,2023,7,4,Tuesday,0,5.0,0,False,False,False,True,False,True
Onion Rings,5.0,1.0,5.0,2022-10-09,2022-10,2022,10,9,Sunday,1,5.0,0,False,False,True,False,False,False
Grilled Vegetables,5.0,5.0,25.0,2023-06-19,2023-06,2023,6,19,Monday,0,5.0,0,False,False,True,False,False,True
Pasta Alfredo,12.0,5.0,60.0,2022-11-13,2022-11,2022,11,13,Sunday,1,12.0,0,False,True,False,False,True,False
Chicken Melt,8.0,1.0,8.0,2023-09-25,2023-09,2023,9,25,Monday,0,8.0,0,False,False,False,True,True,False
Ice Cream,5.0,3.0,15.0,2022-12-16,2022-12,2022,12,16,Friday,0,5.0,0,False,False,False,False,False,True
Grilled Chicken,15.0,3.0,45.0,2022-03-31,2022-03,2022,3,31,Thursday,0,15.0,0,False,True,False,False,False,False
Grilled Chicken,15.0,5.0,75.0,2023-02-27,2023-02,2023,2,27,Monday,0,15.0,0,False,True,False,False,True,False
Pasta Alfredo,12.0,4.0,48.0,2023-07-01,2023-07,2023,7,1,Saturday,1,12.0,0,False,True,False,False,False,True
Onion Rings,5.0,2.0,10.0,2023-04-19,2023-04,2023,4,19,Wednesday,0,5.0,0,False,False,True,False,False,False
Lemonade,3.0,1.0,3.0,2022-10-18,2022-10,2022,10,18,Tuesday,0,3.0,0,True,False,False,False,False,False
Chocolate Cake,6.0,5.0,30.0,2023-10-10,2023-10,2023,10,10,Tuesday,0,6.0,0,False,False,False,False,False,False
Chocolate Cake,6.0,1.0,6.0,2023-01-01,2023-01,2023,1,1,Sunday,1,6.0,0,False,False,False,False,False,False
Side Salad,3.0,2.0,6.0,2023-06-09,2023-06,2023,6,9,Friday,0,3.0,0,False,False,True,False,False,True
Ice Cream,5.0,4.0,20.0,2023-04-01,2023-04,2023,4,1,Saturday,1,5.0,0,False,False,False,False,False,True
Mashed Potatoes,4.0,2.0,8.0,2023-04-01,2023-04,2023,4,1,Saturday,1,4.0,0,False,False,True,False,False,False
Coca Cola,2.5,2.0,5.0,2023-04-23,2023-04,2023,4,23,Sunday,1,2.5,0,True,False,False,False,False,False
Beef Chili,7.0,4.0,28.0,2023-10-27,2023-10,2023,10,27,Friday,0,7.0,0,False,False,False,True,True,False
Grilled Chicken,15.0,4.0,60.0,2022-04-04,2022-04,2022,4,4,Monday,0,15.0,0,False,True,False,False,False,False
Water,1.0,5.0,5.0,2022-05-28,2022-05,2022,5,28,Saturday,1,1.0,0,True,False,False,False,False,True
Pasta Alfredo,12.0,3.0,36.0,2022-08-05,2022-08,2022,8,5,Friday,0,12.0,0,False,True,False,False,False,True
Pasta Alfredo,12.0,4.0,48.0,2023-09-24,2023-09,2023,9,24,Sunday,1,12.0,0,False,True,False,False,False,True
Orange Juice,3.0,1.0,3.0,2023-12-05,2023-12,2023,12,5,Tuesday,0,3.0,0,True,False,False,False,False,True
Onion Rings,5.0,3.0,15.0,2023-05-23,2023-05,2023,5,23,Tuesday,0,5.0,0,False,False,True,False,True,False
Chicken Melt,8.0,3.0,24.0,2023-07-11,2023-07,2023,7,11,Tuesday,0,8.0,0,False,False,False,True,False,True
Side Salad,3.0,1.0,3.0,2023-04-04,2023-04,2023,4,4,Tuesday,0,3.0,0,False,False,True,False,False,True
Grilled Chicken,15.0,1.0,15.0,2022-09-02,2022-09,2022,9,2,Friday,0,15.0,0,False,True,False,False,False,True
Lemonade,3.0,2.0,6.0,2022-04-25,2022-04,2022,4,25,Monday,0,3.0,0,True,False,False,False,True,False
Grilled Chicken,15.0,1.0,15.0,2022-06-28,2022-06,2022,6,28,Tuesday,0,15.0,0,False,True,False,False,False,False
Pasta Alfredo,12.0,1.0,12.0,2023-11-22,2023-11,2023,11,22,Wednesday,0,12.0,0,False,True,False,False,False,False
Mashed Potatoes,4.0,4.0,16.0,2023-04-01,2023-04,2023,4,1,Saturday,1,4.0,0,False,False,True,False,False,True
Side Salad,3.0,1.0,3.0,2023-08-09,2023-08,2023,8,9,Wednesday,0,3.0,0,False,False,True,False,False,True
Grilled Vegetables,5.0,1.0,5.0,2023-03-26,2023-03,2023,3,26,Sunday,1,5.0,0,False,False,True,False,True,False
Ice Cream,5.0,5.0,25.0,2022-01-25,2022-01,2022,1,25,Tuesday,0,5.0,0,False,False,False,False,True,False
Mashed Potatoes,4.0,2.0,8.0,2022-02-10,2022-02,2022,2,10,Thursday,0,4.0,0,False,False,True,False,True,False
Garlic Bread,4.0,4.0,16.0,2023-04-20,2023-04,2023,4,20,Thursday,0,4.0,0,False,False,True,False,True,False
Steak,20.0,3.0,60.0,2023-08-05,2023-08,2023,8,5,Saturday,1,20.0,0,False,True,False,False,False,False
Grilled Vegetables,5.0,5.0,25.0,2023-01-03,2023-01,2023,1,3,Tuesday,0,5.0,0,False,False,True,False,True,False
Coca Cola,2.5,5.0,12.5,2023-11-22,2023-11,2023,11,22,Wednesday,0,2.5,0,True,False,False,False,False,False
Beef Chili,7.0,2.0,14.0,2023-04-13,2023-04,2023,4,13,Thursday,0,7.0,0,False,False,False,True,True,False
Orange Juice,3.0,1.0,3.0,2023-03-04,2023-03,2023,3,4,Saturday,1,3.0,0,True,False,False,False,False,False
Water,1.0,3.0,3.0,2022-12-15,2022-12,2022,12,15,Thursday,0,1.0,0,True,False,False,False,False,False
French Fries,4.0,4.0,16.0,2022-03-29,2022-03,2022,3,29,Tuesday,0,4.0,0,False,False,False,True,True,False
Orange Juice,3.0,5.0,15.0,2023-07-10,2023-07,2023,7,10,Monday,0,3.0,0,True,False,False,False,False,True
Cheese Fries,5.0,5.0,25.0,2023-10-12,2023-10,2023,10,12,Thursday,0,5.0,0,False,False,False,True,False,False
Ice Cream,5.0,2.0,10.0,2022-07-09,2022-07,2022,7,9,Saturday,1,5.0,0,False,False,False,False,False,True
Cheese Fries,5.0,1.0,5.0,2022-11-28,2022-11,2022,11,28,Monday,0,5.0,0,False,False,False,True,True,False
Fruit Salad,4.0,5.0,20.0,2022-02-23,2022-02,2022,2,23,Wednesday,0,4.0,0,False,False,False,False,True,False
Lemonade,3.0,4.0,12.0,2022-10-04,2022-10,2022,10,4,Tuesday,0,3.0,0,True,False,False,False,False,False
Steak,20.0,4.0,80.0,2022-03-04,2022-03,2022,3,4,Friday,0,20.0,0,False,True,False,False,False,True
Ice Cream,5.0,2.0,10.0,2023-03-23,2023-03,2023,3,23,Thursday,0,5.0,0,False,False,False,False,True,False
Pasta Alfredo,12.0,5.0,60.0,2023-07-27,2023-07,2023,7,27,Thursday,0,12.0,0,False,True,False,False,False,True
Nachos Grande,10.0,4.0,40.0,2023-06-26,2023-06,2023,6,26,Monday,0,10.0,0,False,False,False,True,False,True
Garlic Bread,4.0,5.0,20.0,2022-07-03,2022-07,2022,7,3,Sunday,1,4.0,0,False,False,True,False,True,False
Side Salad,3.0,5.0,15.0,2023-09-12,2023-09,2023,9,12,Tuesday,0,3.0,0,False,False,True,False,False,False
Grilled Vegetables,5.0,2.0,10.0,2023-08-18,2023-08,2023,8,18,Friday,0,5.0,0,False,False,True,False,True,False
Lemonade,3.0,2.0,6.0,2023-12-11,2023-12,2023,12,11,Monday,0,3.0,0,True,False,False,False,False,False
Cheese Fries,5.0,2.0,10.0,2022-01-07,2022-01,2022,1,7,Friday,0,5.0,0,False,False,False,True,False,False
Chocolate Cake,6.0,5.0,30.0,2022-02-25,2022-02,2022,2,25,Friday,0,6.0,0,False,False,False,False,True,False
Grilled Chicken,15.0,5.0,75.0,2023-12-23,2023-12,2023,12,23,Saturday,1,15.0,0,False,True,False,False,False,False
Sweet Potato Fries,5.0,1.0,5.0,2022-11-14,2022-11,2022,11,14,Monday,0,5.0,0,False,False,False,True,True,False
Coca Cola,2.5,2.0,5.0,2022-05-08,2022-05,2022,5,8,Sunday,1,2.5,0,True,False,False,False,False,True
Orange Juice,3.0,1.0,3.0,2022-05-25,2022-05,2022,5,25,Wednesday,0,3.0,0,True,False,False,False,True,False
Ice Cream,5.0,2.0,10.0,2023-12-12,2023-12,2023,12,12,Tuesday,0,5.0,0,False,False,False,False,False,False
Water,1.0,5.0,5.0,2023-05-07,2023-05,2023,5,7,Sunday,1,1.0,0,True,False,False,False,True,False
Chocolate Cake,6.0,3.0,18.0,2023-05-19,2023-05,2023,5,19,Friday,0,6.0,0,False,False,False,False,False,False
Mashed Potatoes,4.0,3.0,12.0,2023-07-27,2023-07,2023,7,27,Thursday,0,4.0,0,False,False,True,False,False,True
Brownie,6.0,1.0,6.0,2022-08-04,2022-08,2022,8,4,Thursday,0,6.0,0,False,False,False,False,True,False
Brownie,6.0,2.0,12.0,2023-09-05,2023-09,2023,9,5,Tuesday,0,6.0,0,False,False,False,False,False,False
French Fries,4.0,4.0,16.0,2023-05-28,2023-05,2023,5,28,Sunday,1,4.0,0,False,False,False,True,False,False
Chocolate Cake,6.0,5.0,30.0,2022-03-02,2022-03,2022,3,2,Wednesday,0,6.0,0,False,False,False,False,False,True
Pasta Alfredo,12.0,2.0,24.0,2023-08-30,2023-08,2023,8,30,Wednesday,0,12.0,0,False,True,False,False,True,False
Garlic Bread,4.0,5.0,20.0,2022-05-10,2022-05,2022,5,10,Tuesday,0,4.0,0,False,False,True,False,False,True
Ice Cream,5.0,5.0,25.0,2023-10-26,2023-10,2023,10,26,Thursday,0,5.0,0,False,False,False,False,False,True
Orange Juice,3.0,1.0,3.0,2023-02-23,2023-02,2023,2,23,Thursday,0,3.0,0,True,False,False,False,False,False
French Fries,4.0,4.0,16.0,2022-10-21,2022-10,2022,10,21,Friday,0,4.0,0,False,False,False,True,False,True
Grilled Chicken,15.0,4.0,60.0,2022-04-05,2022-04,2022,4,5,Tuesday,0,15.0,0,False,True,False,False,False,True
Ice Cream,5.0,3.0,15.0,2022-01-12,2022-01,2022,1,12,Wednesday,0,5.0,0,False,False,False,False,False,False
Lemonade,3.0,3.0,9.0,2023-12-17,2023-12,2023,12,17,Sunday,1,3.0,0,True,False,False,False,False,True
Onion Rings,5.0,5.0,25.0,2023-08-14,2023-08,2023,8,14,Monday,0,5.0,0,False,False,True,False,False,True
Ice Cream,5.0,5.0,25.0,2023-03-08,2023-03,2023,3,8,Wednesday,0,5.0,0,False,False,False,False,True,False
Cheesecake,7.0,2.0,14.0,2022-01-03,2022-01,2022,1,3,Monday,0,7.0,0,False,False,False,False,True,False
Chocolate Cake,6.0,1.0,6.0,2023-04-21,2023-04,2023,4,21,Friday,0,6.0,0,False,False,False,False,False,False
Orange Juice,3.0,5.0,15.0,2022-04-04,2022-04,2022,4,4,Monday,0,3.0,0,True,False,False,False,False,False
Chocolate Cake,6.0,3.0,18.0,2023-03-12,2023-03,2023,3,12,Sunday,1,6.0,0,False,False,False,False,True,False
Water,1.0,1.0,1.0,2023-01-14,2023-01,2023,1,14,Saturday,1,1.0,0,True,False,False,False,False,True
Chocolate Cake,6.0,4.0,24.0,2023-08-28,2023-08,2023,8,28,Monday,0,6.0,0,False,False,False,False,False,True
Lemonade,3.0,1.0,3.0,2022-04-17,2022-04,2022,4,17,Sunday,1,3.0,0,True,False,False,False,False,True
Sweet Potato Fries,5.0,3.0,15.0,2022-05-27,2022-05,2022,5,27,Friday,0,5.0,0,False,False,False,True,True,False
Iced Tea,2.5,5.0,12.5,2023-11-16,2023-11,2023,11,16,Thursday,0,2.5,0,True,False,False,False,False,True
Pasta Alfredo,12.0,4.0,48.0,2023-05-01,2023-05,2023,5,1,Monday,0,12.0,0,False,True,False,False,False,False
Pasta Alfredo,12.0,3.0,36.0,2022-07-30,2022-07,2022,7,30,Saturday,1,12.0,0,False,True,False,False,False,True
Steak,20.0,3.0,60.0,2022-08-08,2022-08,2022,8,8,Monday,0,20.0,0,False,True,False,False,False,True
Ice Cream,5.0,4.0,20.0,2023-07-14,2023-07,2023,7,14,Friday,0,5.0,0,False,False,False,False,False,True
Chocolate Cake,6.0,1.0,6.0,2022-10-20,2022-10,2022,10,20,Thursday,0,6.0,0,False,False,False,False,False,False
Side Salad,3.0,5.0,15.0,2022-10-25,2022-10,2022,10,25,Tuesday,0,3.0,0,False,False,True,False,True,False
Mashed Potatoes,4.0,5.0,20.0,2022-05-19,2022-05,2022,5,19,Thursday,0,4.0,0,False,False,True,False,True,False
Side Salad,3.0,5.0,15.0,2023-11-08,2023-11,2023,11,8,Wednesday,0,3.0,0,False,False,True,False,False,True
Orange Juice,3.0,2.0,6.0,2023-05-04,2023-05,2023,5,4,Thursday,0,3.0,0,True,False,False,False,True,False
Ice Cream,5.0,1.0,5.0,2022-05-21,2022-05,2022,5,21,Saturday,1,5.0,0,False,False,False,False,True,False
Brownie,6.0,5.0,30.0,2023-10-13,2023-10,2023,10,13,Friday,0,6.0,0,False,False,False,False,False,True
Nachos Grande,10.0,3.0,30.0,2022-06-18,2022-06,2022,6,18,Saturday,1,10.0,0,False,False,False,True,False,True
Lemonade,3.0,1.0,3.0,2022-09-08,2022-09,2022,9,8,Thursday,0,3.0,0,True,False,False,False,False,False
Garlic Bread,4.0,3.0,12.0,2023-11-15,2023-11,2023,11,15,Wednesday,0,4.0,0,False,False,True,False,True,False
Side Salad,3.0,5.0,15.0,2022-02-16,2022-02,2022,2,16,Wednesday,0,3.0,0,False,False,True,False,True,False
Grilled Chicken,15.0,1.0,15.0,2023-01-01,2023-01,2023,1,1,Sunday,1,15.0,0,False,True,False,False,False,True
Cheese Fries,5.0,4.0,20.0,2022-11-23,2022-11,2022,11,23,Wednesday,0,5.0,0,False,False,False,True,False,False
Water,1.0,5.0,5.0,2023-08-26,2023-08,2023,8,26,Saturday,1,1.0,0,True,False,False,False,True,False
Fruit Salad,4.0,2.0,8.0,2023-06-17,2023-06,2023,6,17,Saturday,1,4.0,0,False,False,False,False,True,False
Water,1.0,4.0,4.0,2023-04-10,2023-04,2023,4,10,Monday,0,1.0,0,True,False,False,False,True,False
Ice Cream,5.0,1.0,5.0,2022-12-02,2022-12,2022,12,2,Friday,0,5.0,0,False,False,False,False,False,True
Coca Cola,2.5,3.0,7.5,2023-06-27,2023-06,2023,6,27,Tuesday,0,2.5,0,True,False,False,False,True,False
Garlic Bread,4.0,2.0,8.0,2022-01-16,2022-01,2022,1,16,Sunday,1,4.0,0,False,False,True,False,False,False
Mashed Potatoes,4.0,5.0,20.0,2022-02-10,2022-02,2022,2,10,Thursday,0,4.0,0,False,False,True,False,False,True
Water,1.0,1.0,1.0,2022-08-27,2022-08,2022,8,27,Saturday,1,1.0,0,True,False,False,False,False,True
Mashed Potatoes,4.0,4.0,16.0,2022-12-30,2022-12,2022,12,30,Friday,0,4.0,0,False,False,True,False,False,True
